source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
Belfast Telegraph Online,226,175,16,0.78,0.1
Scotsman,78,65,6,0.85,0.1
dailyrecord.co.uk,115,95,7,0.83,0.08
Wales on Sunday,135,133,2,0.99,0.02
walesonline.co.uk,80,62,7,0.78,0.15
DAILY MAIL (London),123,119,2,0.96,0.02
MAIL ON SUNDAY (London),131,130,8,1.0,0.06
Sunday Express,230,202,6,0.88,0.03
The Sunday Telegraph (London),352,301,23,0.86,0.08
Sunday Sun,175,172,1,0.98,0.01
The Guardian - Final Edition,160,155,1,0.96,0.01
Guardian.com.,95,94,17,0.98,0.2
The Guardian,213,210,1,0.99,0.01
mirror.co.uk,290,222,54,0.77,0.25
Guardian Weekly,81,81,0,1.0,0.0
The Herald (Glasgow),145,144,1,1.0,0.01
Express Online,206,160,12,0.78,0.08
The Observer (London),449,173,1,0.52,0.0
Daily Star Sunday,228,209,2,0.92,0.01
The People,332,240,1,0.72,0.0
The Express,132,118,0,0.89,0.01
Daily Record and Sunday Mail,208,198,1,0.95,0.01
telegraph.co.uk,414,273,77,0.68,0.3
Daily Mirror,365,272,1,0.75,0.01
Scotland On Sunday,6,5,0,0.94,0.05
The Daily Telegraph (London),333,269,4,0.8,0.02
MailOnline,997,421,53,0.44,0.13
Belfast Telegraph,139,135,1,0.97,0.01
dailypost.co.uk,33,24,1,0.77,0.09
Daily Star Online,153,126,4,0.82,0.04
standard.co.uk,232,123,12,0.53,0.13
