source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
Belfast Telegraph Online,226,169,23,0.75,0.15
Scotsman,78,63,10,0.81,0.17
dailyrecord.co.uk,115,93,10,0.82,0.12
Wales on Sunday,135,133,4,0.99,0.03
walesonline.co.uk,80,60,9,0.76,0.19
DAILY MAIL (London),123,118,5,0.96,0.05
MAIL ON SUNDAY (London),131,129,13,0.99,0.1
Sunday Express,230,198,12,0.86,0.06
The Sunday Telegraph (London),352,294,27,0.84,0.09
Sunday Sun,175,170,3,0.98,0.02
The Guardian - Final Edition,160,152,3,0.95,0.02
Guardian.com.,95,92,23,0.97,0.28
The Guardian,213,209,4,0.98,0.02
mirror.co.uk,290,216,66,0.75,0.31
Guardian Weekly,81,80,0,0.99,0.0
The Herald (Glasgow),145,142,2,0.98,0.02
Express Online,206,156,20,0.76,0.13
The Observer (London),449,156,4,0.47,0.03
Daily Star Sunday,228,207,10,0.91,0.05
The People,332,235,8,0.71,0.04
The Express,132,116,2,0.88,0.03
Daily Record and Sunday Mail,208,196,3,0.95,0.02
telegraph.co.uk,414,263,84,0.65,0.34
Daily Mirror,365,266,4,0.73,0.01
Scotland On Sunday,6,5,0,0.92,0.15
The Daily Telegraph (London),333,264,8,0.78,0.03
MailOnline,997,404,62,0.42,0.16
Belfast Telegraph,139,133,2,0.95,0.02
dailypost.co.uk,33,24,2,0.75,0.12
Daily Star Online,153,123,10,0.81,0.08
standard.co.uk,232,117,18,0.5,0.19
