source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
Belfast Telegraph Online,226,162,33,0.72,0.22
Scotsman,78,60,14,0.77,0.24
dailyrecord.co.uk,115,91,15,0.8,0.18
Wales on Sunday,135,131,10,0.98,0.08
walesonline.co.uk,80,57,11,0.73,0.24
DAILY MAIL (London),123,116,10,0.95,0.1
MAIL ON SUNDAY (London),131,127,23,0.97,0.18
Sunday Express,230,191,22,0.83,0.12
The Sunday Telegraph (London),352,289,38,0.82,0.14
Sunday Sun,175,168,7,0.97,0.04
The Guardian - Final Edition,160,148,9,0.92,0.07
Guardian.com.,95,89,28,0.94,0.35
The Guardian,213,203,12,0.95,0.06
mirror.co.uk,290,209,78,0.72,0.38
Guardian Weekly,81,80,1,0.98,0.01
The Herald (Glasgow),145,140,7,0.97,0.05
Express Online,206,149,31,0.73,0.21
The Observer (London),449,142,10,0.43,0.07
Daily Star Sunday,228,205,20,0.9,0.1
The People,332,232,24,0.7,0.1
The Express,132,114,6,0.87,0.06
Daily Record and Sunday Mail,208,194,7,0.94,0.04
telegraph.co.uk,414,247,88,0.61,0.37
Daily Mirror,365,259,9,0.71,0.04
Scotland On Sunday,6,5,1,0.92,0.22
The Daily Telegraph (London),333,256,18,0.76,0.07
MailOnline,997,388,75,0.4,0.2
Belfast Telegraph,139,130,5,0.93,0.05
dailypost.co.uk,33,23,3,0.73,0.18
Daily Star Online,153,118,20,0.77,0.18
standard.co.uk,232,110,26,0.47,0.3
