source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
Belfast Telegraph Online,226,140,51,0.63,0.38
Scotsman,78,50,24,0.65,0.47
dailyrecord.co.uk,115,80,26,0.7,0.35
Wales on Sunday,135,119,29,0.88,0.26
walesonline.co.uk,80,48,15,0.61,0.35
DAILY MAIL (London),123,106,32,0.86,0.31
MAIL ON SUNDAY (London),131,109,51,0.84,0.46
Sunday Express,230,176,49,0.76,0.28
The Sunday Telegraph (London),352,252,68,0.72,0.27
Sunday Sun,175,151,21,0.87,0.14
The Guardian - Final Edition,160,133,35,0.83,0.28
Guardian.com.,95,80,35,0.86,0.48
The Guardian,213,179,40,0.84,0.23
mirror.co.uk,290,170,92,0.59,0.55
Guardian Weekly,81,78,11,0.96,0.15
The Herald (Glasgow),145,129,28,0.89,0.22
Express Online,206,126,54,0.61,0.43
The Observer (London),449,95,18,0.32,0.15
Daily Star Sunday,228,192,47,0.84,0.24
The People,332,210,57,0.63,0.27
The Express,132,106,25,0.8,0.24
Daily Record and Sunday Mail,208,178,31,0.86,0.18
telegraph.co.uk,414,205,93,0.51,0.47
Daily Mirror,365,234,40,0.65,0.17
Scotland On Sunday,6,5,2,0.9,0.53
The Daily Telegraph (London),333,221,49,0.67,0.22
MailOnline,997,331,96,0.34,0.3
Belfast Telegraph,139,113,20,0.81,0.18
dailypost.co.uk,33,19,4,0.59,0.23
Daily Star Online,153,90,39,0.59,0.44
standard.co.uk,232,91,37,0.38,0.48
