source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
Belfast Telegraph Online,226,187,5,0.83,0.03
Scotsman,78,68,1,0.88,0.02
dailyrecord.co.uk,115,97,2,0.85,0.03
Wales on Sunday,135,134,1,1.0,0.01
walesonline.co.uk,80,66,4,0.82,0.1
DAILY MAIL (London),123,119,1,0.97,0.01
MAIL ON SUNDAY (London),131,130,3,1.0,0.03
Sunday Express,230,209,2,0.91,0.01
The Sunday Telegraph (London),352,319,16,0.91,0.05
Sunday Sun,175,173,1,0.99,0.01
The Guardian - Final Edition,160,158,0,0.99,0.0
Guardian.com.,95,95,5,1.0,0.06
The Guardian,213,211,0,0.99,0.0
mirror.co.uk,290,232,28,0.8,0.12
Guardian Weekly,81,81,0,1.0,0.0
The Herald (Glasgow),145,144,0,1.0,0.0
Express Online,206,166,3,0.81,0.02
The Observer (London),449,216,0,0.62,0.0
Daily Star Sunday,228,216,0,0.95,0.0
The People,332,253,0,0.76,0.0
The Express,132,124,0,0.94,0.0
Daily Record and Sunday Mail,208,201,0,0.97,0.0
telegraph.co.uk,414,293,54,0.72,0.2
Daily Mirror,365,296,0,0.81,0.0
Scotland On Sunday,6,5,0,0.94,0.03
The Daily Telegraph (London),333,282,1,0.84,0.01
MailOnline,997,470,35,0.49,0.08
Belfast Telegraph,139,137,0,0.98,0.01
dailypost.co.uk,33,26,0,0.81,0.02
Daily Star Online,153,129,0,0.84,0.01
standard.co.uk,232,139,4,0.6,0.04
