source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
Belfast Telegraph Online,226,60,52,0.28,0.87
Scotsman,78,20,17,0.26,0.87
dailyrecord.co.uk,115,34,31,0.31,0.91
Wales on Sunday,135,65,54,0.48,0.83
walesonline.co.uk,80,18,16,0.24,0.9
DAILY MAIL (London),123,36,31,0.3,0.88
MAIL ON SUNDAY (London),131,34,31,0.26,0.9
Sunday Express,230,93,74,0.4,0.8
The Sunday Telegraph (London),352,95,72,0.27,0.75
Sunday Sun,175,69,56,0.4,0.8
The Guardian - Final Edition,160,75,59,0.47,0.79
Guardian.com.,95,46,38,0.55,0.85
The Guardian,213,87,64,0.41,0.75
mirror.co.uk,290,77,68,0.27,0.88
Guardian Weekly,81,57,42,0.71,0.74
The Herald (Glasgow),145,66,54,0.46,0.82
Express Online,206,62,54,0.3,0.87
The Observer (London),449,5,4,0.02,0.86
Daily Star Sunday,228,78,63,0.34,0.81
The People,332,93,73,0.28,0.79
The Express,132,62,52,0.47,0.85
Daily Record and Sunday Mail,208,91,74,0.45,0.82
telegraph.co.uk,414,83,66,0.21,0.81
Daily Mirror,365,115,88,0.32,0.77
Scotland On Sunday,6,3,3,0.69,0.9
The Daily Telegraph (London),333,95,73,0.3,0.77
MailOnline,997,92,62,0.1,0.67
Belfast Telegraph,139,50,41,0.36,0.83
dailypost.co.uk,33,7,6,0.24,0.84
Daily Star Online,153,47,41,0.31,0.88
standard.co.uk,232,45,38,0.18,0.88
