source,total_articles,articles_not_in_cluster,articles_in_next_day_cluster,percent_of_articles_not_in_cluster,percent_of_articles_in_next_day_cluster
Belfast Telegraph Online,226,121,63,0.55,0.54
Scotsman,78,42,26,0.55,0.63
dailyrecord.co.uk,115,65,32,0.57,0.51
Wales on Sunday,135,109,43,0.81,0.4
walesonline.co.uk,80,40,19,0.51,0.51
DAILY MAIL (London),123,92,47,0.75,0.51
MAIL ON SUNDAY (London),131,94,60,0.72,0.64
Sunday Express,230,154,69,0.67,0.45
The Sunday Telegraph (London),352,211,88,0.6,0.42
Sunday Sun,175,135,41,0.78,0.31
The Guardian - Final Edition,160,117,50,0.73,0.45
Guardian.com.,95,72,41,0.78,0.6
The Guardian,213,157,62,0.73,0.4
mirror.co.uk,290,138,88,0.48,0.64
Guardian Weekly,81,75,22,0.93,0.3
The Herald (Glasgow),145,117,47,0.81,0.4
Express Online,206,105,60,0.51,0.57
The Observer (London),449,54,18,0.18,0.26
Daily Star Sunday,228,160,68,0.7,0.42
The People,332,183,83,0.55,0.46
The Express,132,94,41,0.72,0.44
Daily Record and Sunday Mail,208,157,53,0.76,0.34
telegraph.co.uk,414,168,91,0.42,0.55
Daily Mirror,365,202,67,0.56,0.34
Scotland On Sunday,6,4,3,0.87,0.77
The Daily Telegraph (London),333,182,69,0.55,0.38
MailOnline,997,269,102,0.28,0.38
Belfast Telegraph,139,98,35,0.7,0.36
dailypost.co.uk,33,15,6,0.48,0.41
Daily Star Online,153,71,40,0.47,0.57
standard.co.uk,232,78,44,0.33,0.62
